0	0	facilityx	facilityy	name	temperature	velocity	diameter in	diameter out	height	emission	substancenumber	pollutant	type		
59.274120	27.904065	0	0	101-Ploki nr.1.2.	200	20	8	8	250	51,4278	8	NOX	eljaam		
59.352946	28.116372	0	0	601-energiaplokk nr 11.12 . ka	170	7	7	7	180	25,63787	8	NOX	eljaam	1,21397	24,4239
59.270948	27.896765	0	0	300-Alstom CFB	142	21	5	5	200	19,8068	8	NOX	eljaam		
59.273470	27.900829	0	0	206-Plokk nr. 6	77	15	5,95	5,95	95	19,0521	8	NOX	eljaam		
59.273449	27.902759	0	0	205-Plokk nr. 5	77	15	5,95	5,95	95	17,914	8	NOX	eljaam		
59.273174	27.899916	0	0	201-Plokk nr 7	200	10	8	8	250	17,3619	8	NOX	eljaam		
59.273924	27.902813	0	0	104-Plokk nr. 4	77	14	5,95	5,95	95	15,0143	8	NOX	eljaam		
59.273964	27.902975	0	0	103-Plokk nr. 3	77	14	5,95	5,95	95	14,9238	8	NOX	eljaam		
59.497697	26.529771	0	0	15 a-poordahi nr.2	200	3	6	6	80	13,9568	8	NOX	fact3vah		
59.497965	26.529349	0	0	15 b-Poordahjud nr. 3 ja nr. 4	200	6	6	6	80	12,6229	8	NOX	fact3vah		
59.272920	27.898482	0	0	208-Plokk nr. 8	180	16	4,85	4,85	95	9,72888	8	NOX	eljaam		
59.395355	27.241962	0	0	101-suitsukorsten	160	2	6	6	150	12,46035	8	NOX	eljaam	3,66522	8,79513
59.274628	27.890630	0	0	280-Enefit280 korsten	200	23	2	2	85	5,55906	8	NOX	fact3vah		
59.496407	26.526319	0	0	10b-Polevkiviveski nr. 2 korst	40	1	2,5	2,5	42	1,99061	8	NOX	fact3vah		
59.403687	27.746060	0	0	1-C-35-40	141	7	4,2	4,2	120	3,10263	8	NOX	eljaam	1,40501	1,69762
59.353694	26.940381	0	0	500-SEJ korsten	160	4	2,8	2,8	96	1,65829	8	NOX	eljaam
