x	y	facilityx	facilityy	name	temperatuur	velocity	diameter	diameter	height	emission	substancenumber	pollutant	gnfr19
59.272910	27.898499			HEIT0006788	180	16.87	4.85	4.85	95	15,28890995		NOX	A_PublicPower
59.273461	27.900845			HEIT0006790	77	15.87	5.95	5.95	95	13,12149351		NOX	A_PublicPower
59.352946	28.116390			HEIT0005864	170	7.1	7	7	180	12,86240617		NOX	A_PublicPower
59.274102	27.904063			HEIT0006794	200	20.07	8	8	250	11,66881717		NOX	A_PublicPower
59.497706	26.529754			HEIT0006642	200	3.2	6	6	80	9,352621984		NOX	B_Industry
59.273439	27.902775			HEIT0006791	77	15.87	5.95	5.95	95	8,907077954		NOX	A_PublicPower
59.395365	27.241946			HEIT0006399	76	13.9	5.4	5.4	150	7,644375751		NOX	A_PublicPower
59.273164	27.899950			HEIT0006789	200	10.04	8	8	250	7,140587771		NOX	A_PublicPower
59.497975	26.529332			HEIT0006641	200	6.4	6	6	80	7,13060581		NOX	B_Industry
59.270182	27.896204			HEIT0006696	142	21.9	5	5	200	6,47445825		NOX	A_PublicPower
59.272369	27.891603			HEIT0005972	180	24.45	1.82	1.82	80	4,837384982		NOX	B_Industry
59.273914	27.902829			HEIT0006792	77	14.94	5.95	5.95	95	2,656183938		NOX	A_PublicPower
59.273954	27.902992			HEIT0006793	77	14.94	5.95	5.95	95	2,444407924		NOX	A_PublicPower
59.403687	27.746060			HEIT0006960	141	7.39	4.2	4.2	120	1,787626589		NOX	A_PublicPower
59.496407	26.526319			HEIT0006644	40	1.9	2.5	2.5	42	1,500463004		NOX	B_Industry
59.387592	27.240081			HEIT0006599	150	21.9	1.6	1.6	100	1,222619085		NOX	B_Industry
59.388664	27.232695			HEIT0006072	250	10.6	1.4	1.4	60	1,099245217		NOX	B_Industry
59.388449	27.241043			HEIT0006597	150	21.9	1.6	1.6	100	1,04220861		NOX	B_Industry
