x	y	facilityx	facilityy	name	temperature	velocity	diameter in	diameter out	height	emission	substancenumber	pollutant	type	x	y		dupl check					
59.353711	26.940453	0	0	HEIT0002828	190	8	2,8	2,8	96	7,311041636	145	SO2	B_Industry	667214	6583183		19082,82,896					
59.353355	28.119116	0	0	HEIT0005862	170	7	7	7	180	27,88608116	145	SO2	A_PublicPower	734171	6586670		170777180					
59.353519	28.113588	0	0	HEIT0005863	152	9	4,1	4,1	70	2,961058373	145	SO2	A_PublicPower	733856	6586669		15294,14,170					
59.352946	28.116390	0	0	HEIT0005864	170	7	7	7	180	17,43360553	145	SO2	A_PublicPower	734019	6586615		170777180					
59.274444	27.889854	0	0	HEIT0005998	1500	35	0,5	0,5	38	3,961095575	145	SO2	B_Industry	721662	6577116		1500350,50,538					
59.274650	27.887172	0	0	HEIT0005999	1500	23	0,5	0,5	30	5,975582029	145	SO2	B_Industry	721508	6577130		1500230,50,530					
59.395365	27.241946	0	0	HEIT0006401	76	14	5,4	5,4	150	17,93447815	145	SO2	A_PublicPower	684122	6588608		76145,45,4150	10,48898108	4,151228163	3,294268902		
59.388978	27.238891	0	0	HEIT0006567	800	18	0,4	0,4	65	22,84553951	145	SO2	B_Industry	683983	6587889		800180,40,465	4,569107901	4,569107901	4,569107901	4,569107901	4,569107901
59.386425	27.236747	0	0	HEIT0006568	500	18	0,4	0,4	65	9,138215803	145	SO2	B_Industry	683875	6587599		500180,40,465	4,569107901	4,569107901			
59.386343	27.236774	0	0	HEIT0006585	800	18	0,4	0,4	65	9,138215803	145	SO2	B_Industry	683877	6587590		800180,40,465	4,569107901	4,569107901			
59.387324	27.236744	0	0	HEIT0006587	800	18	0,4	0,4	65	4,569107901	145	SO2	B_Industry	683870	6587699		800180,40,465					
59.387592	27.240081	0	0	HEIT0006599	150	22	1,6	1,6	100	1,330452782	145	SO2	B_Industry	684058	6587738		150221,61,6100					
59.497974	26.529367	0	0	HEIT0006641	200	6	6	6	80	1,318252607	145	SO2	B_Industry	643243	6598290		20066680					
59.270182	27.896204	0	0	HEIT0006696	142	22	5	5	200	1,631591112	145	SO2	A_PublicPower	722051	6576663		1422255200					
59.272911	27.898481	0	0	HEIT0006780	180	17	4,85	4,85	95	2,441302425	145	SO2	A_PublicPower	722163	6576974		180174,854,8595		1,220651212	1,220651212		
59.273164	27.899933	0	0	HEIT0006781	200	10	8	8	250	30,41455938	145	SO2	A_PublicPower	722244	6577007		2001088250		15,20727969	15,20727969		
59.273460	27.900863	0	0	HEIT0006782	77	16	5,95	5,95	95	5,533232227	145	SO2	A_PublicPower	722295	6577043		77165,955,9595	8	2,766806246	2,766425981		
59.273440	27.902758	0	0	HEIT0006783	77	16	5,95	5,95	95	5,533232227	145	SO2	A_PublicPower	722403	6577047		77165,955,9595		2,766806246	2,766425981		
59.273914	27.902847	0	0	HEIT0006784	77	15	5,95	5,95	95	5,411167105	145	SO2	A_PublicPower	722405	6577100		77155,955,9595		2,644741125	2,766425981		
59.273955	27.902974	0	0	HEIT0006785	77	15	5,95	5,95	95	5,411167105	145	SO2	A_PublicPower	722412	6577105		77155,955,9595		2,644741125	2,766425981		
59.274103	27.904045	0	0	HEIT0006786	200	20	8	8	250	60,82905537	145	SO2	A_PublicPower	722472	6577125		2002088250		30,41452769	30,41452769		
59.403687	27.746060	0	0	HEIT0006960	141	7	4,2	4,2	120	1,502427707	145	SO2	A_PublicPower	712673	6591025		14174,24,2120					
59.405704	27.746264	0	0	HEIT0009448	141	9	4,2	4,2	120	1,497389194	145	SO2	A_PublicPower	712672	6591250		14194,24,2120					
