x	y	facilityx	facilityy	name	temperatuur	velocity	diameter	diameter	height	emission	substancenumber	pollutant	type
59.403679	27.746042			001	141	7	4,2	4,2	120	1,391675475		NOX	eljaam
59.274120	27.904065			101	200	20	8	8	250	24,67309394		NOX	eljaam
59.395355	27.241962			101-muu	160	2	6	6	150	13,07266113		NOX	eljaam
59.273964	27.902975			103	77	14	5,95	5,95	95	12,14269095		NOX	eljaam
59.273924	27.902813			104	77	14	5,95	5,95	95	15,25747469		NOX	eljaam
59.496407	26.526319			10b	40	1	2,5	2,5	42	1,894734613		NOX	fact3vah
59.497984	26.529333			15 b	200	6	6	6	80	6,688325723		NOX	fact3vah
59.497697	26.529771			15a	200	3	6	6	80	21,93369531		NOX	fact3vah
59.273174	27.899916			201	200	10	8	8	250	21,95606757		NOX	eljaam
59.273449	27.902759			205	77	15	5,95	5,95	95	18,9618279		NOX	eljaam
59.273470	27.900829			206	77	15	5,95	5,95	95	15,07428194		NOX	eljaam
59.272902	27.898480			208	180	16	4,85	4,85	95	14,54026288		NOX	eljaam
59.274628	27.890630			280	200	23	2	2	85	5,271869634		NOX	fact3vah
59.270947	27.896782			300	142	21	5	5	200	18,68417094		NOX	eljaam
59.275566	27.901102			301-1	200	11	1,4	1,4	85	1,241280598		NOX	eljaam
59.275567	27.901085			301-2	200	11	1,4	1,4	85	1,009508974		NOX	eljaam
59.387602	27.240047			313	142	21	1,6	1,6	100	1,103184131		NOX	fact3vah
59.352946	28.116372			601	170	7	7	7	180	14,16547986		NOX	eljaam
