x	y	facilityx	facilityy	name	temperatuur	velocity	diameter	diameter	height	emission	substancenumber	pollutant	type
59.403679	27.746042			001	141	7	4,2	4,2	120	13,63291848		SO2	eljaam
59.388664	27.232678			055	275	6	1,4	1,4	60	13,1096736		SO2	fact3vah
59.386197	27.227758			065 (20 kuupi)	154	25	1,8	1,8	45	11,1405813		SO2	fact3vah
59.385864	27.228872			066 (10 kuupi)	248	0	1,8	1,8	45	5,570292237		SO2	fact3vah
59.274120	27.904065			101	200	20	8	8	250	157,3599405		SO2	eljaam
59.395355	27.241962			101-muu	160	2	6	6	150	80,65861671		SO2	eljaam
59.273964	27.902975			103	77	14	5,95	5,95	95	30,39944383		SO2	eljaam
59.273924	27.902813			104	77	14	5,95	5,95	95	36,01890753		SO2	eljaam
59.497984	26.529333			15 b	200	6	6	6	80	1,658146296		SO2	fact3vah
59.497697	26.529771			15a	200	3	6	6	80	1,40539671		SO2	fact3vah
59.273174	27.899916			201	200	10	8	8	250	175,3729434		SO2	eljaam
59.273449	27.902759			205	77	15	5,95	5,95	95	48,48529921		SO2	eljaam
59.273470	27.900829			206	77	15	5,95	5,95	95	41,83465143		SO2	eljaam
59.272902	27.898480			208	180	16	4,85	4,85	95	2,329314331		SO2	eljaam
59.387204	27.239040			310	142	21	1,6	1,6	100	3,75149341		SO2	fact3vah
59.387583	27.240080			312	142	21	1,6	1,6	100	3,779116507		SO2	fact3vah
59.387602	27.240047			313	142	21	1,6	1,6	100	3,131971725		SO2	fact3vah
59.274445	27.889836			401	1500	23	0,5	0,5	30	3,014995819		SO2	fact3vah
59.274631	27.887187			402	1500	23	0,5	0,5	30	3,795870356		SO2	fact3vah
59.353694	26.940381			500	160	4	2,8	2,8	96	135,7272409		SO2	eljaam
59.352946	28.116372			601	170	7	7	7	180	15,19961101		SO2	eljaam
59.353696	26.937495			70	170	15	0,8	0,8	75	5,088270319		SO2	fact3vah
