x	y	facilityx	facilityy	name	temperatuur	velocity	diameter	diameter	height	emission	substancenumber	pollutant	gnfr19					
59.274102	27.904063			HEIT0006794	200	20.07	8	8	250	80,03396778		SO2	A_PublicPower					
59.395365	27.241946			HEIT0006399	76	13.9	5.4	5.4	150	78,16208077		SO2	A_PublicPower		6,837231228	71,32484954		
59.273164	27.899950			HEIT0006789	200	10.04	8	8	250	51,5675069		SO2	A_PublicPower					
59.273461	27.900845			HEIT0006790	77	15.87	5.95	5.95	95	36,12550853		SO2	A_PublicPower		2,068547487	34,05696104		
59.353702	26.940434			HEIT0002828	190	7.51	2.8	2.8	96	117,4307535		SO2	B_Industry		31,10654693	30,58005712	28,05691529	27,68723416
59.273439	27.902775			HEIT0006791	77	15.87	5.95	5.95	95	20,98401472		SO2	A_PublicPower					
59.388664	27.232695			HEIT0006072	250	10.6	1.4	1.4	60	16,07968088		SO2	B_Industry					
59.386197	27.227758			HEIT0006095	180	26.7	1.8	1.8	45	11,23514058		SO2	B_Industry					
59.273914	27.902829			HEIT0006792	77	14.94	5.95	5.95	95	8,354932919		SO2	A_PublicPower					
59.387602	27.240047			HEIT0006602	150	21.9	1.6	1.6	100	8,045786839		SO2	B_Industry					
59.273954	27.902992			HEIT0006793	77	14.94	5.95	5.95	95	6,746316162		SO2	A_PublicPower					
59.497975	26.529332			HEIT0006641	200	6.4	6	6	80	6,479401698		SO2	B_Industry					
59.274650	27.887172			HEIT0005974	1500	23.44	0.5	0.5	30	5,926844709		SO2	B_Industry					
59.387592	27.240081			HEIT0006599	150	21.9	1.6	1.6	100	5,644006641		SO2	B_Industry					
59.403687	27.746060			HEIT0006960	141	7.39	4.2	4.2	120	6,886507257		SO2	A_PublicPower	1,247776795	5,638730462			
59.385873	27.228873			HEIT0006094	180	13.5	1.8	1.8	45	5,617565536		SO2	B_Industry					
59.272910	27.898499			HEIT0006788	180	16.87	4.85	4.85	95	5,517742758		SO2	A_PublicPower					
59.271592	27.894133			HEIT0005970	200	11.72	1.4	1.4	85	8,304230896		SO2	B_Industry		4,015283362	4,288947534		
59.352946	28.116390			HEIT0005864	170	7.1	7	7	180	3,728436665		SO2	A_PublicPower					
59.497706	26.529754			HEIT0006642	200	3.2	6	6	80	3,365663688		SO2	B_Industry					
59.388449	27.241043			HEIT0006597	150	21.9	1.6	1.6	100	3,259686953		SO2	B_Industry					
59.274444	27.889854			HEIT0005973	1500	35.16	0.5	0.5	37.5	3,114403474		SO2	B_Industry					
59.353696	26.937495			HEIT0006727	170	15.07	0.8	0.8	75	2,806824719		SO2	B_Industry					
59.456789	26.862043			HEIT0007798	110	19.98	1	1	20	2,386645644		SO2	B_Industry					
59.353723	26.937498			HEIT0006821	170	15.07	0.8	0.8	75	2,121528566		SO2	B_Industry
