x	y	facilityx	facilityy	name	temperature	velocity	diameter in	diameter out	height	emission t/a => g/s	substancenumber	pollutant	type	x	y		dupl check			
59.353355	28.119116	0	0	HEIT0005862	170	7	7	7	180	5,703977628	8	NOX	A_PublicPower	734171	6586670		170777180			
59.353519	28.113588	0	0	HEIT0005863	152	9	4,1	4,1	70	1,374119899	8	NOX	A_PublicPower	733856	6586669		15294,14,170			
59.352946	28.116390	0	0	HEIT0005864	170	7	7	7	180	4,011037068	8	NOX	A_PublicPower	734019	6586615		170777180			
59.395365	27.241910	0	0	HEIT0006399	76	14	5,4	5,4	150	1,63957668	8	NOX	A_PublicPower	684120	6588608		76145,45,4150			
59.497974	26.529367	0	0	HEIT0006641	200	6	6	6	80	2,661856226	8	NOX	B_Industry	643243	6598290		20066680			
59.497706	26.529754	0	0	HEIT0006642	200	3	6	6	80	1,330928113	8	NOX	B_Industry	643266	6598261		20036680			
59.270182	27.896204	0	0	HEIT0006696	142	22	5	5	200	1,223693334	8	NOX	A_PublicPower	722051	6576663		1422255200			
59.272911	27.898481	0	0	HEIT0006780	180	17	4,85	4,85	95	2,441302425	8	NOX	A_PublicPower	722163	6576974		180174,854,8595		1,220651212	1,220651212
59.273164	27.899933	0	0	HEIT0006781	200	10	8	8	250	5,950700011	8	NOX	A_PublicPower	722244	6577007		2001088250		2,975350006	2,975350006
59.273460	27.900863	0	0	HEIT0006782	77	16	5,95	5,95	95	2,766809415	8	NOX	A_PublicPower	722295	6577043		77165,955,9595	4	1,383404707	1,383404707
59.273440	27.902758	0	0	HEIT0006783	77	16	5,95	5,95	95	2,766809415	8	NOX	A_PublicPower	722403	6577047		77165,955,9595		1,383404707	1,383404707
59.273914	27.902847	0	0	HEIT0006784	77	15	5,95	5,95	95	2,644744294	8	NOX	A_PublicPower	722405	6577100		77155,955,9595		1,322372147	1,322372147
59.273955	27.902974	0	0	HEIT0006785	77	15	5,95	5,95	95	2,644744294	8	NOX	A_PublicPower	722412	6577105		77155,955,9595		1,322372147	1,322372147
59.274103	27.904045	0	0	HEIT0006786	200	20	8	8	250	11,90134932	8	NOX	A_PublicPower	722472	6577125		2002088250		5,95067466	5,95067466
